"ciudad","fecha","pp","ant_log","ant_op","prob","prob_corte","evento_log","Iop","umbral_op","evento_op"
"14838",2026-09-02,2.2,7.8,47,0.001,0.001,1,49.1,9,1
"14839",2026-09-02,2.3,8.1,48.4,0.002,0.002,1,50.7,348.2,0
"14840",2026-09-02,1.7,6.2,6.2,0.002,0.002,1,8,2.8,1
"14841",2026-09-02,1.5,2.6,4.4,0.003,0.002,1,5.9,280.7,0
"14842",2026-09-02,1.4,2.2,3.6,0.003,0.003,1,5,330.1,0
"14843",2026-09-02,0.9,1.8,8.2,0.001,0.012,0,9.1,431.6,0
"14845",2026-09-02,0.3,16.8,16.8,0.001,0.015,0,17,133.5,0
"14846",2026-09-02,0.2,0.5,10.5,0.001,0.014,0,10.7,84.4,0
"14847",2026-09-02,0.2,4.1,4.1,0,0.34,0,4.3,83.6,0
"14850",2026-09-02,0,0.1,0,0,0.01,0,0.1,26,0
"14851",2026-09-02,0,0,0.2,0.001,0.069,0,0.2,121.9,0
"14852",2026-09-02,0,0,0.1,0.001,0.065,0,0.2,104.3,0
"14853",2026-09-02,0,0,0.1,0.002,0.283,0,0.1,60.1,0
"14854",2026-09-02,0.1,0.1,0.1,0.002,0.366,0,0.2,39.6,0
"14855",2026-09-02,0.1,0.1,0.1,0.002,0.73,0,0.2,49.9,0
"14857",2026-09-02,0.1,2.2,2.2,0,0.007,0,2.3,53.5,0
"14858",2026-09-02,0.1,0.2,4.3,0.001,0.001,1,4.3,3.2,1
"14986",2026-09-02,0.8,0.5,0.5,0.005,0.005,0,1.3,1.7,0
"14987",2026-09-02,1.4,0.4,0.4,0.006,0.006,1,1.9,1.2,1
"14988",2026-09-02,1.9,0.1,0.1,0.006,0.006,1,2,1.1,1
"14989",2026-09-02,1.6,0.1,0.1,0.007,0.006,1,1.8,0.9,1
"14990",2026-09-02,1.2,0.4,0.4,0.007,0.007,1,1.5,0.9,1
"14991",2026-09-02,1.8,0.9,0.9,0.007,0.007,1,2.7,0.9,1
"15042",2026-09-02,1.6,4.8,4.8,0,0.276,0,6.4,66,0
"15043",2026-09-02,1.5,4.5,3.7,0,0.257,0,5.2,66.1,0
"15044",2026-09-02,1.2,4.4,10.7,0,0.705,0,11.9,138.5,0
"15045",2026-09-02,1.1,11.6,4.6,0.001,0.032,0,5.7,82.6,0
"15046",2026-09-02,1.4,14.2,4.6,0.002,0.001,1,6.1,110.6,0
"15047",2026-09-02,1.7,5.9,33.1,0.001,0.001,1,34.9,9.2,1
"15048",2026-09-02,1.8,14.1,33.4,0.001,0.001,1,35.2,12.3,1
"15049",2026-09-02,1.8,6.5,37.8,0.002,0.001,1,39.5,322.7,0
"15050",2026-09-02,1.6,6.2,36.8,0.002,0.002,1,38.4,413.7,0
"15051",2026-09-02,1.6,3.2,12.5,0.002,0.002,1,14,490.7,0
"15052",2026-09-02,1.5,3,12,0.002,0.055,0,13.5,522.6,0
"15053",2026-09-02,1.3,3.7,19,0.001,0.018,0,20.3,749.3,0
"15054",2026-09-02,0.9,3.2,19.5,0.001,0.001,1,20.4,551.4,0
"15055",2026-09-02,0.6,29.2,29.2,0,0.035,0,29.8,261.5,0
"15056",2026-09-02,0.2,9.9,9.9,0.001,0.018,0,10.1,85,0
"15057",2026-09-02,0.1,0.2,0.4,0,0.598,0,0.6,41,0
"15058",2026-09-02,0.1,0.1,0.2,0.001,0.129,0,0.3,48.1,0
"15059",2026-09-02,0,0,0,0.004,0.005,0,0.1,1.5,0
"15060",2026-09-02,0,0,0.1,0.001,0.148,0,0.1,118.9,0
"15061",2026-09-02,0,0,0,0.002,0.499,0,0,78.6,0
"15062",2026-09-02,0,3.1,0,0.004,0.192,0,0,47.3,0
"15063",2026-09-02,0,0.2,0,0.003,0.045,0,0.1,30,0
"15064",2026-09-02,0,0,0,0.003,0.66,0,0.1,45.1,0
"15065",2026-09-02,0.1,0.1,0.1,0.003,0.815,0,0.1,54.9,0
"15067",2026-09-02,0.1,0.1,2.8,0.001,0.002,0,2.9,59.7,0
"15088",2026-09-02,0,0,0,0,1,0,0,1.4,0
"15196",2026-09-02,0.8,0.5,0.5,0.005,0.005,1,1.3,0.7,1
"15197",2026-09-02,2.1,1,1,0.005,0.005,1,3.1,1,1
"15198",2026-09-02,2.7,0.8,0.8,0.006,0.005,1,3.5,1.2,1
"15199",2026-09-02,1.8,0.5,0.5,0.007,0.006,1,2.3,1.3,1
"15200",2026-09-02,1.5,0.6,0.6,0.007,0.007,0,2.1,1.5,1
"15255",2026-09-02,1,2.6,5.6,0,0.253,0,6.6,125.1,0
